u,i,weight,ts,label,idx
51,27,1,1294600362.03195,1,182
30,14,3,1294689381.25255,1,183
14,30,1,1294689438.39491,1,184
51,70,1,1294788721.90836,1,185
70,51,3,1294854693.16331,1,186
12,71,2,1294919858.69515,1,187
71,12,2,1294927076.83628,1,188
50,72,4,1294947596.86945,1,189
72,50,1,1294953308.35973,1,190
65,7,3,1294974057.98044,1,191
51,12,1,1294996843.91845,1,193
12,51,1,1295011593.79396,1,194
73,74,1,1295223074.80015,1,200
74,75,1,1295223955.11582,1,201
60,19,2,1295282631.45186,1,202
73,43,2,1295394666.14979,1,203
30,4,1,1295416559.00524,1,204
4,30,1,1295416571.50888,1,205
53,4,4,1295507765.13172,1,207
70,78,1,1295538196.77426,1,208
78,70,1,1295560693.07907,1,209
61,79,2,1295620829.44948,1,210
79,61,3,1295622238.77534,1,211
43,80,1,1295647515.55323,1,212
80,43,1,1295647536.52286,1,213
71,49,1,1295720115.42616,1,214
49,71,1,1295720324.59948,1,215
70,79,2,1295806593.89702,1,216
7,81,1,1295847189.68733,1,217
81,7,1,1295847197.87082,1,218
79,70,2,1296071385.99524,1,222
18,7,5,1296076062.49974,1,223
7,83,1,1296085723.47309,1,224
83,7,1,1296085847.78287,1,225
46,84,2,1296096741.77722,1,226
84,46,2,1296096768.61653,1,227
84,57,1,1296163310.87274,1,228
84,87,2,1296163344.67709,1,229
84,43,4,1296163403.15362,1,230
43,84,4,1296164244.66224,1,231
81,30,1,1296229412.30641,1,232
30,81,1,1296229420.53809,1,233
86,30,1,1296291483.02942,1,235
30,86,1,1296291878.91863,1,237
35,7,1,1296512060.00051,1,238
73,7,4,1296528583.06603,1,242
7,73,2,1296528668.83435,1,243
7,35,1,1296528718.47876,1,244
7,91,1,1296553673.17861,1,245
91,7,1,1296553681.63051,1,246
18,80,1,1296579082.73748,1,247
80,18,1,1296579092.82596,1,248
80,76,1,1296580101.4228,1,249
76,80,1,1296580127.98678,1,250
43,41,2,1296595302.62143,1,251
87,57,3,1296601381.26798,1,252
89,93,10,1296608630.85714,1,253
89,19,1,1296609273.32248,1,254
39,94,1,1296682612.84857,1,259
88,7,2,1296688733.36417,1,260
7,88,2,1296688773.26321,1,261
57,30,3,1296754197.20889,1,264
57,12,1,1296754335.65361,1,265
57,18,1,1296754414.29012,1,268
57,21,3,1296754435.61868,1,269
57,87,3,1296754444.14572,1,270
57,84,1,1296754511.90955,1,271
57,95,1,1296754599.04721,1,272
57,44,3,1296754644.6621,1,273
94,39,1,1296758779.86266,1,274
39,2,2,1296769471.34734,1,275
2,39,2,1296769494.33436,1,276
93,89,10,1296772979.27922,1,277
93,96,1,1296773129.83712,1,278
96,93,2,1296774360.49458,1,279
7,97,1,1296792123.6835,1,280
97,7,1,1296792359.704,1,281
39,7,6,1296913225.27207,1,288
7,39,5,1296913557.93463,1,289
85,18,2,1296927382.06491,1,290
58,28,2,1297093748.02624,1,293
28,58,2,1297093804.32766,1,294
2,96,2,1297102509.39137,1,295
96,2,2,1297102585.30881,1,296
70,12,4,1297187359.235,1,297
96,21,1,1297206554.68267,1,300
21,96,1,1297207240.84724,1,301
96,98,1,1297301158.11584,1,303
98,96,1,1297301164.4001,1,304
96,73,1,1297308204.52492,1,305
73,96,1,1297308356.09497,1,306
12,70,3,1297359911.12964,1,308
7,100,1,1297370441.70883,1,310
100,7,1,1297371118.2643,1,311
96,101,1,1297378806.44562,1,314
101,96,1,1297378871.13707,1,315
73,83,1,1297385761.43817,1,316
83,73,1,1297385922.89955,1,317
73,46,1,1297386367.25667,1,318
46,73,1,1297386418.35483,1,319
7,43,5,1297467512.37907,1,322
43,73,2,1297479764.51934,1,323
7,104,2,1297482206.04112,1,324
104,98,5,1297489409.50331,1,325
98,104,5,1297494046.21813,1,326
104,7,3,1297494086.69858,1,327
96,17,5,1297533099.47819,1,328
102,96,1,1297533751.04344,1,329
96,102,1,1297534217.73791,1,330
58,96,3,1297550942.57838,1,331
2,3,8,1297570107.33404,1,332
96,105,1,1297621909.86333,1,333
105,96,1,1297626301.05187,1,334
82,105,1,1297626584.94084,1,335
105,82,1,1297628387.63165,1,338
82,56,2,1297644400.67612,1,339
2,105,1,1297647973.79808,1,340
105,2,1,1297647979.65596,1,341
82,106,1,1297652993.62903,1,342
106,82,1,1297653023.0515,1,343
55,96,1,1297686544.7679,1,344
82,98,1,1297722488.03348,1,345
98,82,1,1297723090.50627,1,346
96,107,1,1297734450.42201,1,347
107,96,1,1297734459.94641,1,348
109,2,1,1297807903.35418,1,351
43,110,1,1297809191.75732,1,352
18,85,4,1297815736.60998,1,355
17,96,2,1297824884.76968,1,356
67,61,2,1297844414.54098,1,357
58,112,1,1297866186.48689,1,358
112,113,1,1297866223.36195,1,359
113,112,1,1297866274.16062,1,360
96,55,1,1297872866.38282,1,361
2,82,1,1297878331.02521,1,362
82,2,1,1297878338.83964,1,363
82,107,1,1297878360.64792,1,364
107,82,1,1297878526.43474,1,365
96,114,1,1297886091.49672,1,368
76,115,2,1297893560.04423,1,369
61,67,3,1297907214.44135,1,370
114,116,1,1297908772.11966,1,371
116,114,2,1297908772.2987,1,372
114,55,1,1297908985.0441,1,373
82,117,1,1297910664.51101,1,374
96,118,4,1297911997.64031,1,375
118,96,4,1297912087.2256,1,376
96,85,3,1297915803.12114,1,377
85,96,3,1297915880.11482,1,378
117,82,1,1297915937.36182,1,379
112,96,1,1297976227.00216,1,382
96,112,1,1297976241.97774,1,383
85,120,1,1297976422.39242,1,384
120,85,2,1297976428.09406,1,385
41,7,3,1297980364.62058,1,386
7,41,3,1297980493.92464,1,387
115,76,2,1298047000.34432,1,389
86,112,1,1298128067.61391,1,396
112,86,1,1298130582.32069,1,397
86,109,1,1298146050.01677,1,398
58,109,1,1298146920.37648,1,399
109,58,1,1298147261.90571,1,400
91,58,1,1298147284.26115,1,401
96,58,3,1298147302.06896,1,402
109,86,1,1298147389.6971,1,403
86,17,1,1298169867.27033,1,404
7,123,3,1298169938.52399,1,405
123,7,3,1298169949.76348,1,406
17,86,1,1298176196.50247,1,407
96,76,1,1298252029.59932,1,408
76,96,1,1298252036.65929,1,409
96,119,2,1298265265.40787,1,410
119,96,2,1298265838.45333,1,411
96,124,1,1298311685.25666,1,414
124,96,1,1298311859.99465,1,415
2,112,1,1298346435.18333,1,420
112,2,1,1298346449.83965,1,421
106,61,1,1298431338.72708,1,423
106,60,1,1298431427.57506,1,424
60,106,1,1298431543.83973,1,425
114,128,1,1298513462.94598,1,428
128,114,1,1298513680.51537,1,429
2,128,1,1298520615.60603,1,430
128,2,1,1298520693.71134,1,431
82,76,1,1298577705.04351,1,432
96,131,2,1298611411.8562,1,437
131,96,2,1298611459.2624,1,438
61,112,1,1298623979.12249,1,439
105,132,1,1298645238.44312,1,440
132,105,1,1298645445.29018,1,441
33,133,2,1298646564.1419,1,442
133,33,2,1298647569.99753,1,443
46,128,1,1298653534.32262,1,444
128,46,1,1298653559.5885,1,445
85,128,1,1298654517.41338,1,446
128,85,1,1298654517.67884,1,447
43,76,2,1298654789.70468,1,448
43,134,1,1298657430.1608,1,449
46,3,1,1298665050.04055,1,450
85,135,2,1298665394.71677,1,451
135,85,1,1298667151.55806,1,452
134,43,1,1298667687.63676,1,454
128,118,2,1298694079.99209,1,455
118,128,2,1298694137.71932,1,456
137,7,2,1298708156.9605,1,457
33,138,3,1298740675.71722,1,458
123,107,1,1298757244.9581,1,459
107,123,1,1298757268.91873,1,460
7,128,1,1298759550.40835,1,461
123,139,1,1298778315.23466,1,462
139,123,1,1298778361.05062,1,463
112,94,1,1298795455.87274,1,464
94,112,1,1298795468.73169,1,465
107,140,1,1298843671.57232,1,466
140,107,1,1298843683.57829,1,467
55,141,1,1298844210.44139,1,469
141,55,1,1298844224.27972,1,470
106,135,1,1298874597.88921,1,473
112,135,1,1298874793.4339,1,474
135,112,1,1298874964.12214,1,475
135,106,1,1298875015.9994,1,476
112,61,3,1298898116.56088,1,480
107,106,1,1298926935.42354,1,481
106,107,1,1298927097.42467,1,482
43,111,2,1298928760.87298,1,483
111,43,2,1298928785.24844,1,484
2,118,1,1298929715.26896,1,485
118,2,1,1298929724.58619,1,486
96,143,1,1299031253.02273,1,488
143,96,1,1299031290.36311,1,489
96,121,1,1299034389.95688,1,492
121,96,1,1299034411.42346,1,493
111,144,1,1299041120.30215,1,496
144,111,1,1299041133.74616,1,497
107,143,1,1299041571.84638,1,498
143,107,1,1299041643.76656,1,499
143,145,2,1299043467.00321,1,500
145,143,2,1299043551.71672,1,501
106,145,1,1299044294.86964,1,502
145,106,1,1299044403.24181,1,503
105,46,1,1299085320.83416,1,504
46,105,1,1299085332.11705,1,505
146,7,2,1299087811.16481,1,506
7,146,2,1299088214.0403,1,507
60,7,1,1299088418.20491,1,508
7,58,1,1299093649.42249,1,509
58,7,1,1299093674.94716,1,510
110,141,1,1299101381.01691,1,511
141,110,1,1299103258.85242,1,512
7,147,1,1299151907.92823,1,513
147,7,1,1299152111.95803,1,514
138,33,1,1299178292.56269,1,515
145,148,1,1299204600.79527,1,516
148,145,1,1299204728.25571,1,517
58,107,3,1299275608.11165,1,522
7,150,1,1299283600.03025,1,523
150,7,1,1299283609.0378,1,524
76,151,2,1299289949.53986,1,525
151,76,2,1299290475.70162,1,526
76,152,1,1299304119.32378,1,527
152,76,1,1299304159.52682,1,528
76,82,2,1299436669.14931,1,529
76,153,1,1299438045.59458,1,530
153,76,1,1299438055.41055,1,531
76,85,1,1299446922.31054,1,532
85,76,1,1299446966.29133,1,533
82,7,1,1299490927.29325,1,535
76,133,1,1299521852.61123,1,536
133,76,1,1299526904.15252,1,537
106,154,1,1299530754.61514,1,538
154,106,1,1299530789.68515,1,539
43,121,2,1299531271.8705,1,540
121,43,2,1299531324.89171,1,541
43,140,2,1299612557.68516,1,544
7,27,2,1299679074.43262,1,545
43,155,1,1299680713.48263,1,546
155,43,1,1299690391.59665,1,547
43,156,1,1299695064.64841,1,548
156,140,1,1299695092.12404,1,549
156,43,1,1299695193.58884,1,550
140,156,1,1299696030.98944,1,551
7,157,1,1299732938.35009,1,552
157,7,1,1299732959.82189,1,553
22,43,2,1299735274.57295,1,554
43,22,2,1299767299.46624,1,557
43,153,4,1299770716.79434,1,558
7,118,1,1299912911.49571,1,559
118,7,1,1299912916.6564,1,560
43,160,1,1299950085.78986,1,561
43,161,1,1299985463.22153,1,562
161,43,1,1299985655.09101,1,563
7,162,2,1300015561.6701,1,564
162,7,2,1300015951.74518,1,565
96,160,2,1300042936.98914,1,566
160,96,1,1300043117.64593,1,567
27,7,2,1300184211.54803,1,568
156,163,1,1300209236.17869,1,569
163,156,1,1300211126.02863,1,570
105,165,1,1300231849.32684,1,573
165,105,1,1300232683.219,1,574
7,166,1,1300232688.61261,1,575
105,43,1,1300233490.26657,1,576
7,82,3,1300240396.64097,1,577
43,167,1,1300244368.07308,1,578
168,163,1,1300261803.24489,1,579
163,168,1,1300262138.70326,1,580
169,7,2,1300292102.85217,1,581
43,55,3,1300332304.32471,1,583
55,43,3,1300332465.49224,1,584
55,7,3,1300333012.95413,1,585
43,171,3,1300402382.46128,1,586
7,172,1,1300411884.69399,1,587
172,7,1,1300414645.92746,1,588
105,106,2,1300459755.42946,1,589
106,105,2,1300459768.82549,1,590
43,105,1,1300473495.35943,1,591
7,168,2,1300568050.6267,1,592
112,171,1,1300652885.59238,1,593
90,7,5,1300708855.39164,1,594
7,169,3,1300720137.00426,1,595
7,70,1,1300745124.00214,1,596
76,141,-1,1300756036.36913,-1,597
162,141,-1,1300756138.39013,-1,598
112,141,-1,1300756261.61723,-1,599
70,7,2,1300789107.18729,1,600
41,43,2,1300815962.85964,1,601
76,112,1,1300847913.88432,1,606
112,76,1,1300848458.62375,1,607
76,43,3,1300857385.78325,1,608
129,173,1,1300869245.91488,1,610
168,7,2,1300922187.70427,1,611
174,171,1,1300931572.43768,1,614
43,174,4,1300933559.35294,1,615
174,43,4,1300933628.40347,1,616
74,98,1,1300933841.61542,1,617
43,175,2,1300933940.81493,1,618
175,43,2,1300934003.34278,1,619
98,74,1,1300934772.96625,1,620
174,7,1,1300936616.54053,1,621
174,96,1,1300936648.23633,1,622
174,22,1,1300937004.55166,1,623
106,115,1,1300997414.74007,1,624
115,106,2,1300998238.60245,1,625
27,82,2,1301003730.28041,1,626
106,177,1,1301019703.69875,1,628
177,106,1,1301019908.37738,1,629
22,174,1,1301020983.01394,1,630
7,174,1,1301023265.29454,1,631
7,141,-1,1301032557.19767,-1,633
30,112,4,1301053223.02334,1,634
112,30,4,1301053275.06746,1,635
176,178,1,1301084932.76856,1,636
178,176,1,1301086321.13469,1,637
136,84,1,1301089005.69938,1,638
22,90,2,1301142985.03367,1,640
43,179,2,1301148833.16292,1,641
43,180,1,1301149633.64025,1,642
180,43,1,1301149695.18141,1,643
171,174,1,1301167471.06378,1,644
179,43,2,1301168075.27677,1,645
179,3,5,1301168216.3998,1,646
138,181,1,1301235483.09664,1,648
181,138,1,1301235508.69089,1,649
181,82,1,1301235545.31582,1,650
138,182,1,1301245064.58624,1,651
43,7,7,1301333083.16938,1,654
30,2,8,1301333302.87472,1,655
43,186,4,1301341025.09,1,658
187,171,1,1301354726.36129,1,661
22,181,1,1301365871.60088,1,663
181,22,1,1301366024.41918,1,664
43,189,1,1301439895.52296,1,668
187,33,1,1301447178.01603,1,669
43,176,2,1301453104.26438,1,670
161,147,1,1301513674.37768,1,671
147,161,1,1301514094.92735,1,672
43,191,1,1301521482.93868,1,673
43,192,1,1301522462.81942,1,674
192,43,1,1301523090.45585,1,675
7,193,3,1301569599.51207,1,676
22,133,1,1301617653.67475,1,681
168,194,1,1301618418.8494,1,682
194,168,1,1301618444.55443,1,683
193,7,2,1301630013.46087,1,684
43,170,3,1301683978.58539,1,685
170,43,3,1301684509.79047,1,686
168,195,1,1301694942.53723,1,687
195,168,1,1301695371.53818,1,688
196,7,5,1301744132.96548,1,689
184,7,2,1301774795.68179,1,690
112,199,1,1301863197.31473,1,697
199,112,1,1301863380.16357,1,698
30,200,1,1301866633.93795,1,699
200,46,1,1301866651.50438,1,700
200,30,1,1301866658.16656,1,701
2,7,5,1301898700.00283,1,704
2,43,5,1301898705.01812,1,705
2,57,2,1301898759.93158,1,707
7,2,5,1301899167.88298,1,708
7,30,5,1301899174.23402,1,709
7,17,5,1301899226.79428,1,711
7,53,2,1301899299.67572,1,712
168,201,1,1301901459.51033,1,715
201,168,2,1301901471.90318,1,716
192,202,1,1301936770.23107,1,718
30,106,2,1301938972.97953,1,719
106,30,2,1301939041.53778,1,720
202,192,1,1301941162.33583,1,721
43,203,6,1301945086.58244,1,722
203,43,6,1301945156.92203,1,723
166,7,1,1301973637.93208,1,725
205,43,2,1301999041.33397,1,729
126,43,5,1302011702.12912,1,732
43,126,5,1302011716.65014,1,733
166,60,1,1302012515.57348,1,734
41,86,1,1302012678.63861,1,735
112,60,5,1302016172.14603,1,736
202,60,3,1302025647.35766,1,738
27,207,1,1302027410.92431,1,739
207,27,1,1302027786.63124,1,740
60,202,3,1302044439.63816,1,743
60,46,1,1302044526.12678,1,744
60,166,1,1302044550.36239,1,745
60,112,5,1302044581.24267,1,746
60,61,8,1302044652.10865,1,747
189,43,2,1302055573.88593,1,748
53,17,1,1302069957.59209,1,749
27,209,2,1302082638.35105,1,750
209,27,2,1302082712.11024,1,751
43,212,1,1302107640.20041,1,756
43,211,3,1302108245.39571,1,757
211,43,3,1302108321.25808,1,758
7,137,2,1302112511.70515,1,759
128,168,1,1302117349.64077,1,760
168,128,1,1302117447.02989,1,761
43,205,4,1302121400.1563,1,762
128,120,1,1302132473.03542,1,763
177,210,1,1302136505.95479,1,764
210,177,1,1302136666.07502,1,765
43,204,5,1302203707.81714,1,766
204,43,6,1302203835.70195,1,767
43,213,1,1302204154.31343,1,768
213,43,1,1302204187.96469,1,769
214,69,1,1302212934.15979,1,770
106,7,5,1302236703.97441,1,771
7,106,4,1302236754.91664,1,772
43,65,2,1302278539.02512,1,777
65,43,4,1302279515.49002,1,778
65,76,3,1302279761.22593,1,779
76,65,3,1302287609.45711,1,780
43,216,1,1302289159.55323,1,781
216,43,1,1302289547.82167,1,782
22,212,2,1302290506.1325,1,783
128,7,3,1302290513.17185,1,784
212,22,2,1302290516.59398,1,785
212,43,5,1302292040.5721,1,786
126,125,1,1302292905.39664,1,790
168,217,1,1302296393.61884,1,791
217,168,1,1302296410.68733,1,792
43,218,10,1302296668.90613,1,793
46,181,1,1302323406.62678,1,796
219,220,1,1302333277.12914,1,797
220,219,2,1302335098.12836,1,798
7,221,4,1302449755.37367,1,800
217,115,1,1302495086.26435,1,804
205,85,1,1302530478.1929,1,807
205,86,1,1302534403.24766,1,808
169,223,1,1302543865.71495,1,809
223,169,1,1302543928.24847,1,810
18,224,2,1302565807.95899,1,811
43,225,4,1302617059.0161,1,812
43,226,4,1302617703.32199,1,813
226,43,4,1302618615.20687,1,814
112,227,1,1302639445.78691,1,815
227,112,1,1302639465.88425,1,816
27,228,1,1302639584.04456,1,817
228,27,1,1302639594.24471,1,818
227,43,5,1302648768.56717,1,822
190,177,1,1302652617.51579,1,823
177,190,1,1302652619.89266,1,824
203,104,1,1302659161.53761,1,826
104,203,1,1302659185.59919,1,827
177,183,2,1302659794.35446,1,828
183,177,2,1302660915.73231,1,830
183,230,1,1302660923.43809,1,831
230,183,1,1302661144.3117,1,832
230,3,1,1302661676.62094,1,833
43,230,1,1302707523.2397,1,835
115,7,1,1302713671.69297,1,836
210,129,1,1302722251.86399,1,837
183,133,1,1302725616.99514,1,838
133,183,1,1302745364.87522,1,841
133,196,2,1302747220.14808,1,842
196,133,1,1302747939.81542,1,843
46,7,3,1302750631.70804,1,844
43,57,4,1302790887.38111,1,846
112,19,10,1302791427.3307,1,847
183,233,1,1302814706.88712,1,850
233,183,1,1302814788.93336,1,851
43,222,2,1302818032.37702,1,853
222,43,2,1302818176.74099,1,854
43,234,2,1302818420.69705,1,855
18,192,1,1302820322.40181,1,856
7,204,4,1302824119.085,1,857
107,58,5,1302842625.08982,1,859
107,115,1,1302842652.67125,1,860
230,7,1,1302845151.17931,1,861
7,230,1,1302845532.66568,1,862
104,234,1,1302881660.53253,1,867
104,236,1,1302881716.56255,1,868
43,237,3,1302882663.48147,1,869
237,43,3,1302882727.21246,1,870
104,217,1,1302883016.61397,1,871
231,238,1,1302883800.22379,1,872
217,104,1,1302885177.36545,1,873
238,231,1,1302887909.58358,1,874
129,210,1,1302895949.56359,1,876
236,104,1,1302902855.06206,1,877
183,46,1,1302906349.12986,1,880
168,183,1,1302917070.79383,1,881
183,168,1,1302918774.91556,1,882
234,43,3,1302920250.19332,1,883
43,240,2,1302923640.05259,1,884
181,46,5,1302923672.39342,1,885
181,81,1,1302923731.87447,1,886
181,17,5,1302924030.13264,1,887
240,43,8,1302924331.03873,1,888
168,22,1,1302932650.78467,1,891
22,168,1,1302932675.14829,1,892
241,242,1,1302933257.32159,1,893
168,243,1,1302933285.10365,1,894
243,168,1,1302933663.71517,1,896
7,201,2,1302970025.95609,1,898
7,246,1,1302978023.97721,1,899
217,248,1,1302990371.15432,1,902
248,217,1,1302991007.04608,1,903
218,226,4,1303021207.75337,1,906
218,203,5,1303021210.01436,1,907
218,76,5,1303021213.96774,1,908
218,43,5,1303021221.59123,1,909
29,181,2,1303055665.67399,1,912
181,29,2,1303055677.04459,1,913
251,177,1,1303064582.67538,1,914
177,251,1,1303064621.364,1,915
179,112,1,1303080084.25373,1,920
112,179,1,1303080211.60651,1,921
186,218,4,1303080730.55375,1,922
186,43,5,1303080818.11106,1,923
186,107,1,1303081272.30198,1,924
107,186,1,1303081506.88679,1,925
186,133,1,1303083553.72312,1,926
133,186,1,1303083824.63758,1,927
17,43,5,1303085826.86171,1,929
161,76,1,1303090859.30757,1,930
7,255,1,1303099054.93551,1,931
255,7,1,1303099322.50252,1,932
254,166,1,1303113301.68098,1,933
166,254,1,1303113398.11481,1,934
192,21,1,1303114586.23407,1,935
210,46,1,1303136046.42943,1,939
191,74,2,1303154040.49594,1,940
46,210,1,1303168886.31513,1,942
190,258,1,1303168898.16831,1,943
258,190,1,1303168905.59715,1,944
4,243,2,1303175312.55388,1,945
243,4,2,1303175839.85251,1,946
259,260,1,1303192071.75571,1,947
260,259,1,1303192108.97372,1,948
218,22,5,1303197787.15083,1,949
233,7,2,1303251534.06528,1,952
7,233,2,1303251550.345,1,953
29,262,1,1303252801.98936,1,954
262,29,1,1303252805.75341,1,955
43,260,2,1303253191.86247,1,956
260,43,3,1303253327.18892,1,957
22,263,1,1303256262.8433,1,958
46,262,1,1303257293.9611,1,961
262,46,1,1303257295.45308,1,962
176,43,3,1303257371.27207,1,963
7,215,1,1303263457.99911,1,966
215,7,1,1303263494.46938,1,967
14,215,1,1303264358.25127,1,968
243,266,1,1303280196.19433,1,971
266,243,1,1303280237.42379,1,972
243,267,1,1303282173.97886,1,973
267,243,1,1303282190.53093,1,974
43,190,2,1303338920.24671,1,975
190,43,2,1303338935.30631,1,976
107,243,1,1303342751.31404,1,977
243,107,1,1303342876.66572,1,978
168,268,1,1303344910.5805,1,979
30,269,2,1303345804.65132,1,980
268,168,1,1303348286.09602,1,981
196,16,1,1303357170.26507,1,984
22,160,1,1303359602.70177,1,985
160,22,1,1303359614.46297,1,986
160,43,2,1303360208.24803,1,987
241,22,1,1303361103.80481,1,989
22,241,1,1303361108.41975,1,991
166,148,2,1303387704.0627,1,996
148,166,2,1303387833.90276,1,997
7,227,2,1303391987.2434,1,998
43,185,7,1303396798.83528,1,999
218,240,4,1303406592.00074,1,1000
12,129,1,1303416432.96096,1,1001
129,12,1,1303416561.67917,1,1002
133,270,1,1303416673.95908,1,1003
270,133,1,1303416692.2218,1,1004
271,243,1,1303424581.71549,1,1005
21,192,1,1303447886.00988,1,1007
17,269,6,1303483211.91199,1,1010
43,273,4,1303487897.75142,1,1015
273,43,2,1303488818.96655,1,1016
168,234,2,1303499486.23316,1,1017
234,168,2,1303499671.62036,1,1018
273,183,1,1303535867.44393,1,1022
17,67,8,1303540925.97946,1,1023
67,17,8,1303540941.34585,1,1024
7,275,2,1303544457.63505,1,1025
218,275,4,1303546993.98663,1,1026
7,210,1,1303553119.7487,1,1027
275,218,4,1303559784.21938,1,1028
215,14,2,1303579036.67632,1,1030
33,274,1,1303599238.17432,1,1032
33,276,1,1303607468.8259,1,1033
46,277,1,1303618161.48302,1,1035
277,46,1,1303618177.17361,1,1036
46,278,1,1303618819.34451,1,1038
278,46,1,1303618999.73077,1,1039
33,279,1,1303622727.77243,1,1040
279,33,1,1303622762.64221,1,1041
56,82,3,1303627972.45148,1,1043
218,236,4,1303633389.9722,1,1044
274,33,10,1303644082.76252,1,1047
281,43,1,1303673490.21872,1,1049
201,7,4,1303676697.10681,1,1050
176,183,1,1303680595.23137,1,1051
183,176,1,1303680597.71392,1,1052
80,7,1,1303683484.78537,1,1053
7,80,1,1303683667.37366,1,1054
275,7,4,1303685320.94541,1,1057
210,284,1,1303685391.59344,1,1058
284,210,1,1303685478.49709,1,1059
177,285,1,1303692043.75834,1,1060
7,181,1,1303692370.73546,1,1061
181,7,2,1303692374.89948,1,1062
7,189,1,1303692429.76732,1,1063
189,7,1,1303693074.60969,1,1064
285,177,1,1303693729.38586,1,1065
7,287,1,1303702693.65596,1,1071
287,7,1,1303702717.18495,1,1072
22,289,1,1303725238.7572,1,1080
289,22,1,1303725563.20402,1,1081
283,290,1,1303738638.32319,1,1082
290,283,1,1303739054.90476,1,1083
161,181,1,1303739675.311,1,1084
200,21,1,1303751776.57371,1,1088
7,257,4,1303754914.81181,1,1089
218,295,3,1303762987.23233,1,1090
218,299,5,1303762992.09364,1,1091
282,306,1,1303770869.74674,1,1092
306,282,1,1303770911.20867,1,1093
306,307,1,1303771119.85233,1,1094
